feature,baseline_rmse,occluded_rmse,rmse_increase,baseline_mae,occluded_mae,mae_increase,mean_absolute_prediction_change,mean_signed_prediction_change
sensor_11,13.868558470962293,14.789080039939414,0.9205215689771205,10.327766418457031,11.290641784667969,0.9628753662109375,3.3122663497924805,1.726641297340393
sensor_9,13.868558470962293,14.787633440926344,0.9190749699640506,10.327766418457031,11.098784446716309,0.7710180282592773,2.191953659057617,1.5199875831604004
sensor_14,13.868558470962293,14.530975929875094,0.6624174589128007,10.327766418457031,10.914177894592285,0.5864114761352539,2.1784727573394775,0.7109292149543762
sensor_15,13.868558470962293,14.406230934775888,0.5376724638135943,10.327766418457031,10.887425422668457,0.5596590042114258,2.2819747924804688,1.094054937362671
sensor_20,13.868558470962293,14.365541215494197,0.4969827445319037,10.327766418457031,10.894756317138672,0.5669898986816406,2.6751413345336914,1.2776588201522827
sensor_2,13.868558470962293,14.306383450120265,0.4378249791579716,10.327766418457031,10.831551551818848,0.5037851333618164,2.714024543762207,1.6476410627365112
sensor_12,13.868558470962293,14.305188839521659,0.4366303685593653,10.327766418457031,10.829414367675781,0.50164794921875,2.838895320892334,1.1852736473083496
sensor_13,13.868558470962293,14.18200308227936,0.3134446113170668,10.327766418457031,10.658839225769043,0.3310728073120117,2.878635883331299,1.0562808513641357
sensor_3,13.868558470962293,14.172976416337074,0.3044179453747802,10.327766418457031,10.691055297851562,0.36328887939453125,1.5403215885162354,0.8161168098449707
sensor_17,13.868558470962293,14.16782874034763,0.2992702693853371,10.327766418457031,10.709769248962402,0.3820028305053711,1.9249866008758545,0.5817329287528992
sensor_21,13.868558470962293,14.115374771207481,0.24681630024518775,10.327766418457031,10.681143760681152,0.3533773422241211,2.3933045864105225,1.1848036050796509
sensor_7,13.868558470962293,14.064955840246565,0.19639736928427176,10.327766418457031,10.758110046386719,0.4303436279296875,2.8924002647399902,0.850339949131012
sensor_6,13.868558470962293,14.04814534282879,0.1795868718664959,10.327766418457031,10.306687355041504,-0.021079063415527344,1.1295948028564453,-0.17616958916187286
sensor_4,13.868558470962293,13.870099826225228,0.0015413552629350846,10.327766418457031,10.503653526306152,0.1758871078491211,1.977452278137207,0.8767345547676086
sensor_1,13.868558470962293,13.868558470962293,0.0,10.327766418457031,10.327766418457031,0.0,0.0,0.0
op_setting_3,13.868558470962293,13.868558470962293,0.0,10.327766418457031,10.327766418457031,0.0,0.0,0.0
sensor_19,13.868558470962293,13.868558470962293,0.0,10.327766418457031,10.327766418457031,0.0,0.0,0.0
sensor_16,13.868558470962293,13.868558470962293,0.0,10.327766418457031,10.327766418457031,0.0,0.0,0.0
sensor_5,13.868558470962293,13.868558470962293,0.0,10.327766418457031,10.327766418457031,0.0,0.0,0.0
sensor_10,13.868558470962293,13.868558470962293,0.0,10.327766418457031,10.327766418457031,0.0,0.0,0.0
sensor_18,13.868558470962293,13.868558470962293,0.0,10.327766418457031,10.327766418457031,0.0,0.0,0.0
op_setting_2,13.868558470962293,13.855518858275616,-0.013039612686677415,10.327766418457031,10.372147560119629,0.044381141662597656,0.8758739829063416,0.28034707903862
sensor_8,13.868558470962293,13.57441265598914,-0.2941458149731542,10.327766418457031,10.427421569824219,0.0996551513671875,2.4656009674072266,0.8904507756233215
op_setting_1,13.868558470962293,13.539556125594554,-0.32900234536773887,10.327766418457031,10.139740943908691,-0.18802547454833984,0.8097841739654541,0.06600401550531387
