unit,feature,actual_rul,original_prediction,occluded_prediction,signed_effect_on_prediction,absolute_effect_on_prediction
45,sensor_20,114.0,62.45362854003906,72.16236114501953,-9.708732604980469,9.708732604980469
45,sensor_4,114.0,62.45362854003906,71.59732818603516,-9.143699645996094,9.143699645996094
45,sensor_15,114.0,62.45362854003906,70.1478271484375,-7.6941986083984375,7.6941986083984375
45,sensor_21,114.0,62.45362854003906,69.64060974121094,-7.186981201171875,7.186981201171875
45,sensor_2,114.0,62.45362854003906,67.33978271484375,-4.8861541748046875,4.8861541748046875
45,sensor_7,114.0,62.45362854003906,67.13279724121094,-4.679168701171875,4.679168701171875
45,sensor_12,114.0,62.45362854003906,66.77794647216797,-4.324317932128906,4.324317932128906
45,sensor_3,114.0,62.45362854003906,66.58029174804688,-4.1266632080078125,4.1266632080078125
45,sensor_8,114.0,62.45362854003906,59.19137954711914,3.262248992919922,3.262248992919922
45,sensor_17,114.0,62.45362854003906,65.69393157958984,-3.2403030395507812,3.2403030395507812
45,sensor_13,114.0,62.45362854003906,65.26261138916016,-2.8089828491210938,2.8089828491210938
45,op_setting_1,114.0,62.45362854003906,64.55418395996094,-2.100555419921875,2.100555419921875
45,op_setting_2,114.0,62.45362854003906,64.3111801147461,-1.8575515747070312,1.8575515747070312
45,sensor_14,114.0,62.45362854003906,60.91193389892578,1.5416946411132812,1.5416946411132812
45,sensor_11,114.0,62.45362854003906,63.416053771972656,-0.9624252319335938,0.9624252319335938
45,sensor_9,114.0,62.45362854003906,62.53974533081055,-0.08611679077148438,0.08611679077148438
45,sensor_6,114.0,62.45362854003906,62.530670166015625,-0.0770416259765625,0.0770416259765625
45,sensor_5,114.0,62.45362854003906,62.45362854003906,0.0,0.0
45,op_setting_3,114.0,62.45362854003906,62.45362854003906,0.0,0.0
45,sensor_1,114.0,62.45362854003906,62.45362854003906,0.0,0.0
45,sensor_10,114.0,62.45362854003906,62.45362854003906,0.0,0.0
45,sensor_16,114.0,62.45362854003906,62.45362854003906,0.0,0.0
45,sensor_19,114.0,62.45362854003906,62.45362854003906,0.0,0.0
45,sensor_18,114.0,62.45362854003906,62.45362854003906,0.0,0.0
