unit,feature,actual_rul,original_prediction,occluded_prediction,signed_effect_on_prediction,absolute_effect_on_prediction
45,sensor_20,114.0,81.27503204345703,95.05707550048828,-13.78204345703125,13.78204345703125
45,sensor_4,114.0,81.27503204345703,94.29212188720703,-13.01708984375,13.01708984375
45,sensor_2,114.0,81.27503204345703,91.96892547607422,-10.693893432617188,10.693893432617188
45,sensor_15,114.0,81.27503204345703,90.09879302978516,-8.823760986328125,8.823760986328125
45,sensor_17,114.0,81.27503204345703,85.93002319335938,-4.654991149902344,4.654991149902344
45,sensor_12,114.0,81.27503204345703,85.57774353027344,-4.302711486816406,4.302711486816406
45,sensor_14,114.0,81.27503204345703,77.02210998535156,4.252922058105469,4.252922058105469
45,sensor_13,114.0,81.27503204345703,85.3601303100586,-4.0850982666015625,4.0850982666015625
45,sensor_21,114.0,81.27503204345703,84.32643127441406,-3.0513992309570312,3.0513992309570312
45,sensor_7,114.0,81.27503204345703,78.8304214477539,2.444610595703125,2.444610595703125
45,sensor_8,114.0,81.27503204345703,79.05777740478516,2.217254638671875,2.217254638671875
45,sensor_11,114.0,81.27503204345703,82.71780395507812,-1.4427719116210938,1.4427719116210938
45,sensor_9,114.0,81.27503204345703,80.03752136230469,1.2375106811523438,1.2375106811523438
45,op_setting_2,114.0,81.27503204345703,82.43977355957031,-1.1647415161132812,1.1647415161132812
45,op_setting_1,114.0,81.27503204345703,82.02880859375,-0.7537765502929688,0.7537765502929688
45,sensor_3,114.0,81.27503204345703,82.01860046386719,-0.7435684204101562,0.7435684204101562
45,sensor_6,114.0,81.27503204345703,81.49668884277344,-0.22165679931640625,0.22165679931640625
45,sensor_5,114.0,81.27503204345703,81.27503204345703,0.0,0.0
45,op_setting_3,114.0,81.27503204345703,81.27503204345703,0.0,0.0
45,sensor_1,114.0,81.27503204345703,81.27503204345703,0.0,0.0
45,sensor_10,114.0,81.27503204345703,81.27503204345703,0.0,0.0
45,sensor_16,114.0,81.27503204345703,81.27503204345703,0.0,0.0
45,sensor_19,114.0,81.27503204345703,81.27503204345703,0.0,0.0
45,sensor_18,114.0,81.27503204345703,81.27503204345703,0.0,0.0
