feature,baseline_rmse,occluded_rmse,rmse_increase,baseline_mae,occluded_mae,mae_increase,mean_absolute_prediction_change,mean_signed_prediction_change
sensor_13,14.031878552875813,15.62127983056836,1.5894012776925468,10.412379264831543,11.648571968078613,1.2361927032470703,2.9959657192230225,1.9081125259399414
sensor_11,14.031878552875813,15.569710772994068,1.5378322201182542,10.412379264831543,11.79881477355957,1.3864355087280273,2.8773746490478516,1.6654213666915894
sensor_12,14.031878552875813,15.497062158579444,1.465183605703631,10.412379264831543,11.660270690917969,1.2478914260864258,2.741262435913086,1.1140636205673218
sensor_15,14.031878552875813,15.486176263798546,1.4542977109227326,10.412379264831543,11.497220993041992,1.0848417282104492,2.6501376628875732,1.4382785558700562
sensor_2,14.031878552875813,15.300390320829289,1.2685117679534752,10.412379264831543,11.552594184875488,1.1402149200439453,2.474539041519165,1.939649224281311
sensor_20,14.031878552875813,15.246137286159977,1.2142587332841632,10.412379264831543,11.221964836120605,0.8095855712890625,2.209226131439209,1.1719818115234375
sensor_3,14.031878552875813,15.01058027331394,0.9787017204381261,10.412379264831543,11.076376914978027,0.6639976501464844,1.5289747714996338,0.8715041875839233
sensor_4,14.031878552875813,14.979052349108864,0.9471737962330504,10.412379264831543,11.17805004119873,0.7656707763671875,2.2068722248077393,1.0323816537857056
sensor_8,14.031878552875813,14.874243452563658,0.8423648996878441,10.412379264831543,11.312170028686523,0.8997907638549805,2.664114475250244,1.0515735149383545
sensor_17,14.031878552875813,14.798313477795684,0.7664349249198708,10.412379264831543,11.185656547546387,0.7732772827148438,1.8180510997772217,0.40198904275894165
sensor_21,14.031878552875813,14.631280056068285,0.5994015031924711,10.412379264831543,10.959157943725586,0.546778678894043,2.24161434173584,0.4149995446205139
sensor_7,14.031878552875813,14.59660883150202,0.5647302786262074,10.412379264831543,10.997709274291992,0.5853300094604492,2.2782645225524902,1.126326560974121
sensor_9,14.031878552875813,14.529078298740684,0.4971997458648705,10.412379264831543,11.06192684173584,0.6495475769042969,2.4715209007263184,0.626502513885498
op_setting_2,14.031878552875813,14.090742581186337,0.05886402831052351,10.412379264831543,10.3867826461792,-0.02559661865234375,1.0583211183547974,0.0009210072457790375
sensor_14,14.031878552875813,14.040724242568807,0.008845689692993375,10.412379264831543,10.675453186035156,0.2630739212036133,2.2197318077087402,-0.062086865305900574
op_setting_3,14.031878552875813,14.031878552875813,0.0,10.412379264831543,10.412379264831543,0.0,0.0,0.0
sensor_19,14.031878552875813,14.031878552875813,0.0,10.412379264831543,10.412379264831543,0.0,0.0,0.0
sensor_5,14.031878552875813,14.031878552875813,0.0,10.412379264831543,10.412379264831543,0.0,0.0,0.0
sensor_1,14.031878552875813,14.031878552875813,0.0,10.412379264831543,10.412379264831543,0.0,0.0,0.0
sensor_10,14.031878552875813,14.031878552875813,0.0,10.412379264831543,10.412379264831543,0.0,0.0,0.0
sensor_18,14.031878552875813,14.031878552875813,0.0,10.412379264831543,10.412379264831543,0.0,0.0,0.0
sensor_16,14.031878552875813,14.031878552875813,0.0,10.412379264831543,10.412379264831543,0.0,0.0,0.0
op_setting_1,14.031878552875813,13.872443986134437,-0.15943456674137657,10.412379264831543,10.268548011779785,-0.1438312530517578,0.860007643699646,-0.058691177517175674
sensor_6,14.031878552875813,13.773527788806447,-0.2583507640693661,10.412379264831543,10.234367370605469,-0.17801189422607422,0.6243337988853455,-0.3822934031486511
