model,validation_snapshot_rmse,validation_snapshot_mae,validation_snapshot_r2,validation_snapshot_nasa_score,validation_snapshot_mean_error,test_rmse,test_mae,test_r2,test_nasa_score,test_mean_error,test_overprediction_rate,test_dangerous_overprediction_rate,test_maximum_absolute_error
ensemble,10.054557891320078,7.7844936084747305,0.9089652099145369,37.28814144985797,5.716301088333131,13.21218677573903,10.086801598548888,0.89129745798018,291.30011427893106,2.6897031717300415,0.68,0.29,44.01780776977539
gru,10.56461321729449,8.176379537582397,0.899494774938286,39.379922827979655,4.4227136135101315,13.584917658674591,9.877013206481934,0.885077714920044,317.7111511230469,1.4729177951812744,0.63,0.23,51.54636764526367
lstm,11.261382686752288,8.831606197357178,0.8858003241625536,45.23724588184926,7.656682300567627,14.28653143589269,10.964733123779297,0.8729004859924316,443.0913391113281,4.514881610870361,0.69,0.31,49.40410614013672
ridge,17.311673842686446,13.46725673675537,0.7301269236960342,140.84086362009475,10.900279808044434,14.993142149777594,12.231558799743652,0.8600168824195862,374.97607421875,2.7583506107330322,0.55,0.35,41.30870056152344
transformer,19.56758222072531,13.72668261528015,0.655209118446785,382.1480498885447,3.3304028034210207,21.704079746368393,15.432458877563477,0.7066587805747986,1634.1591796875,3.3580260276794434,0.59,0.31,71.14915466308594
