trajectory_flag,trajectory_trust,engine_count,average_absolute_error,average_recent_slope,average_risk_score,percentage
Consistent degradation,High,41,8.639497059147532,-0.865212325684284,82.86240383241235,41.0
High-RUL plateau — review,Low,30,10.563744099934896,0.12920107083810634,69.60690511067709,30.0
Unstable trajectory,Low,18,13.377995808919271,-0.6247298007222546,91.19258863661024,18.0
Rapid degradation signal,Medium,6,4.897635142008464,-1.864733952209167,95.52289403279622,6.0
Mixed trajectory,Medium,3,6.347756703694661,-0.3492419259590028,92.52839762369791,3.0
RUL increasing despite ageing,Low,1,12.784774780273438,0.4664710711715805,82.95452880859375,1.0
Weak degradation / plateau,Low,1,13.851028442382812,-0.0142040051912006,93.72968139648438,1.0
