trajectory_flag,trajectory_trust,engine_count,average_absolute_error,average_reliability_risk_score,average_recent_slope,percentage
Consistent degradation,High,41,8.639497059147532,23.392289628827474,-0.865212325684284,41.0
High-RUL plateau — review,Low,30,10.563744099934896,61.00526238547431,0.12920107083810634,30.0
Unstable trajectory,Low,18,13.377995808919271,69.35511991712782,-0.6247298007222546,18.0
Rapid degradation signal,Medium,6,4.897635142008464,23.224250713984173,-1.864733952209167,6.0
Mixed trajectory,Medium,3,6.347756703694661,51.694297419654,-0.3492419259590028,3.0
RUL increasing despite ageing,Low,1,12.784774780273438,69.97790718078613,0.4664710711715805,1.0
Weak degradation / plateau,Low,1,13.851028442382812,52.2347215016683,-0.0142040051912006,1.0
