rul_region,engine_count,rmse,mae,coverage,average_interval_width,average_absolute_error,dangerous_overprediction_rate
Critical: 0–20,16,4.347276748458217,3.025073766708374,0.9375,18.25573819875717,3.025073766708374,0.0625
Warning: 21–50,17,8.502327364723941,7.105429705451517,0.8235294117647058,24.7858304977417,7.105429705451517,0.23529411764705882
Monitor: 51–80,12,18.226027118347407,15.295299212137857,0.75,42.09768040974935,15.295299212137857,0.5
Healthy: 81+,55,15.006998163426813,11.532062461159446,0.9090909090909091,39.505814188176934,11.532062461159446,0.21818181818181817
