retained_fraction,retained_percentage,retained_engines,rejected_engines,rmse,mae,average_absolute_error,coverage,dangerous_overprediction_rate,maximum_interval_width
1.0,100.0,100,0,13.392594462419252,9.87482594013214,9.87482594013214,0.89,0.24,57.39303588867188
0.9,90.0,90,10,12.755219313475846,9.517870971891615,9.517870971891615,0.9,0.23333333333333334,47.25994873046875
0.8,80.0,80,20,11.677985059562955,8.595629793405532,8.595629793405532,0.925,0.2125,42.316650390625
0.7,70.0,70,30,11.04627916353544,7.694083847318377,7.694083847318377,0.9142857142857143,0.15714285714285714,39.796875
0.6,60.0,60,40,10.880321888678397,7.374230519930522,7.374230519930522,0.9166666666666666,0.15,33.70417785644531
0.5,50.0,50,50,10.46246301302781,6.554879007339477,6.554879007339477,0.92,0.08,30.780616760253903
0.4,40.0,40,60,10.403530717033668,6.221500599384308,6.221500599384308,0.925,0.05,27.778297424316406
0.3,30.0,30,70,8.971312055864095,5.1836890061696375,5.1836890061696375,0.9333333333333333,0.03333333333333333,25.07775115966797
0.2,20.0,20,80,3.9898140677959817,2.9451824903488157,2.9451824903488157,1.0,0.0,20.96206283569336
