model,validation_rmse,validation_mae,validation_r2,validation_nasa_score,test_rmse,test_mae,test_r2,test_nasa_score,test_mean_error,test_overprediction_rate,test_dangerous_overprediction_rate,test_maximum_absolute_error
ensemble,12.873628429656577,9.634693079098403,0.903322646588199,11339.437244620705,13.298411654924491,10.237822487831117,0.8898740073238722,295.6954473944158,2.9360567903518686,0.68,0.28,44.05687713623047
gru,13.439491018012632,9.964700698852539,0.8946369290351868,10869.8583984375,13.584917658674591,9.877013206481934,0.885077714920044,317.7111511230469,1.4729177951812744,0.63,0.23,51.54636764526367
lstm,13.464359284691776,9.934764862060547,0.8942466378211975,19553.4609375,14.28653143589269,10.964733123779297,0.8729004859924316,443.0913391113281,4.514881610870361,0.69,0.31,49.40410614013672
ridge,16.51831887325213,13.26037883758545,0.8408324718475342,16457.0078125,14.993142149777594,12.231558799743652,0.8600168824195862,374.97607421875,2.7583506107330322,0.55,0.35,41.30870056152344
transformer,19.91131843466526,13.673856735229492,0.7687280774116516,59902.375,21.704079746368393,15.432458877563477,0.7066587805747986,1634.1591796875,3.3580260276794434,0.59,0.31,71.14915466308594
